"wavelength_410,wavelength_435,wavelength_460,wavelength_485,wavelength_510,wavelength_535,wavelength_560,wavelength_585,wavelength_610,wavelength_645,wavelength_680,wavelength_705,wavelength_730,wavelength_760,wavelength_810,wavelength_860,wavelength_900,wavelength_940,label"
"57.451,175.258,237.629,162.545,52.837,11.518,1.95,0.0,0.0,0.0,3.943,0.0,8.044,2.489,0.0,2.727,0.0,0.0,blue"
"9.437,4.899,9.205,2.123,5.273,9.404,0.0,0.0,6.443,5.07,10.734,5.956,11.835,8.162,8.521,4.912,5.552,4.28,black"
"0.0,0.0,6.735,10.224,47.376,137.787,243.514,257.406,164.478,37.708,0.0,5.051,0.0,2.047,0.0,0.089,2.523,0.0,yellow"
"0.0,0.0,5.815,5.662,43.356,103.809,182.86,196.194,125.537,28.057,0.0,4.082,2.735,0.0,3.796,0.0,2.859,0.0,yellow"
"56.697,180.278,241.147,176.822,59.956,8.614,0.0,10.652,0.182,0.011,0.414,0.0,0.139,0.0,0.0,0.0,0.0,1.224,blue"
"76.066,202.591,277.546,194.294,64.711,9.607,2.398,0.0,0.0,4.697,1.96,0.966,0.0,6.058,0.0,3.456,5.224,0.0,blue"
"4.656,8.796,14.894,9.547,10.603,12.206,9.063,17.059,16.818,8.559,10.104,8.584,6.841,13.486,7.659,7.464,16.735,7.945,black"
"69.268,197.392,284.619,198.205,61.608,15.117,1.356,0.0,1.582,0.387,6.122,0.0,0.0,0.0,1.499,0.514,0.0,1.586,blue"
"0.216,0.0,0.0,0.0,2.267,17.653,57.266,140.285,231.149,243.854,119.287,43.274,8.698,0.0,8.314,0.0,0.997,0.0,red"
"1.01,0.0,3.107,1.147,2.824,11.968,48.624,113.7,191.164,202.99,91.862,34.565,5.565,8.749,3.818,0.0,0.0,2.286,red"
"37.829,92.952,111.145,93.795,45.007,21.68,19.908,54.076,102.257,142.909,114.967,63.616,21.867,15.172,0.0,0.0,0.962,0.0,magenta"
"56.0,154.84,227.708,159.531,52.872,11.672,3.275,2.358,6.239,0.0,3.824,3.656,1.674,0.0,0.0,6.985,0.0,0.162,blue"
"1.2,2.787,17.036,78.616,193.576,258.729,223.095,126.816,35.482,7.36,9.674,6.779,2.755,0.0,4.978,0.0,0.0,1.481,green"
"0.0,1.469,2.743,5.067,0.0,23.417,52.073,131.472,234.179,241.531,112.662,49.191,9.405,1.841,0.0,0.0,0.0,0.0,red"
"61.077,140.176,185.918,134.436,67.683,26.442,34.17,71.687,144.842,223.104,177.485,102.968,37.816,6.074,0.697,0.0,1.103,10.241,magenta"
"48.371,92.036,113.957,100.093,41.339,14.895,27.821,48.969,96.335,146.606,96.586,70.811,33.707,5.644,6.238,0.0,2.56,5.945,magenta"
"0.0,0.0,1.741,2.88,8.347,14.378,52.731,130.491,217.245,252.994,112.091,47.521,12.268,4.334,6.089,0.0,0.0,0.0,red"
"236.251,223.598,215.34,198.076,188.656,176.607,182.42,190.84,200.293,221.811,219.831,235.308,221.767,221.728,190.568,176.864,199.886,193.873,white"
"43.702,98.845,213.507,284.839,303.456,219.223,131.925,53.888,16.604,0.768,2.045,8.185,0.0,0.0,0.0,0.936,0.0,0.0,cyan"
"0.0,0.0,0.0,0.0,0.0,10.423,61.597,142.409,227.948,246.543,124.536,41.903,8.069,1.101,0.0,0.0,0.0,1.559,red"
"0.501,1.586,12.223,58.93,163.999,227.053,204.349,103.691,32.254,4.329,7.696,0.0,0.0,1.123,3.192,0.0,2.466,0.613,green"
"0.0,0.0,7.427,13.255,42.588,147.889,255.335,258.857,167.108,38.034,7.514,1.94,1.749,6.46,2.802,6.791,0.0,1.772,yellow"
"195.608,212.065,204.539,180.471,187.43,166.158,175.059,179.359,181.418,205.607,210.157,207.79,224.883,210.205,189.404,170.206,172.665,203.097,white"
"0.0,4.239,0.038,4.617,5.387,9.448,50.046,117.665,204.257,219.688,109.65,39.171,7.944,2.155,0.0,0.0,5.896,0.0,red"
"57.717,129.636,158.801,127.49,66.533,21.414,28.856,67.032,129.852,198.978,153.615,91.184,40.128,13.922,0.0,0.0,0.0,0.0,magenta"
"73.871,146.541,186.535,153.395,77.09,27.971,30.586,84.545,147.551,223.379,191.107,105.799,38.558,7.918,0.0,4.636,0.0,1.899,magenta"
"47.781,167.403,225.461,157.215,57.917,11.735,4.904,6.35,4.21,1.782,0.0,0.0,2.176,1.985,0.0,0.0,2.703,0.0,blue"
"0.0,3.849,0.0,12.291,37.975,119.53,204.478,232.153,142.35,31.536,0.0,3.91,0.0,0.0,0.956,0.199,0.0,2.608,yellow"
"0.0,1.95,7.744,1.699,7.19,14.063,44.868,108.87,194.916,202.96,101.041,37.817,7.362,0.0,7.761,0.0,4.973,0.0,red"
"35.053,95.526,158.333,236.66,247.209,196.259,104.354,42.65,8.701,4.149,0.0,0.0,4.423,0.0,0.0,1.592,0.337,4.4,cyan"
"3.818,0.0,0.981,5.084,36.21,124.453,229.343,240.023,146.237,40.245,6.658,4.045,2.051,0.0,0.0,0.0,0.0,2.228,yellow"
"5.85,2.574,8.389,51.551,125.855,189.246,163.844,75.512,22.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.073,0.0,green"
"0.0,0.0,0.0,4.297,5.217,20.076,62.074,150.206,255.818,274.078,132.235,54.971,13.798,0.31,0.0,0.0,1.753,0.0,red"
"0.0,2.315,0.0,11.328,50.353,164.526,293.239,304.22,197.638,39.602,0.0,5.475,0.0,0.0,7.997,9.166,3.069,0.0,yellow"
"0.0,6.16,6.212,6.775,1.669,8.699,55.365,127.652,208.943,226.402,102.3,44.407,13.74,2.484,3.351,2.089,0.438,0.0,red"
"8.117,0.0,0.0,15.281,45.794,155.931,267.141,269.986,166.649,34.852,8.811,1.431,0.498,2.271,1.596,4.631,2.891,0.0,yellow"
"62.248,160.225,236.464,158.317,57.201,10.5,7.012,0.0,0.027,0.0,3.273,0.0,0.0,3.27,0.0,4.224,2.363,1.481,blue"
"41.876,100.582,182.379,261.787,265.843,200.004,115.374,43.391,12.727,4.734,0.0,0.0,6.629,0.0,5.991,2.779,1.123,1.431,cyan"
"0.0,1.944,18.364,77.095,158.742,233.283,199.651,106.633,37.446,2.001,7.458,3.956,0.0,0.0,2.037,3.69,0.0,0.0,green"
"35.613,78.384,163.628,226.961,222.043,170.112,99.759,42.031,19.061,0.0,1.419,8.204,2.216,0.0,0.026,0.318,0.0,0.0,cyan"
"9.942,12.202,5.163,6.772,11.472,12.358,10.555,6.035,2.742,7.328,8.965,8.543,11.865,5.219,0.956,3.707,4.13,6.117,black"
"38.028,87.801,180.497,239.474,246.255,198.363,113.984,45.497,9.577,2.806,0.0,3.977,0.0,1.357,0.0,0.325,1.08,5.826,cyan"
"0.0,3.577,18.747,51.925,139.408,201.051,178.211,82.576,30.628,0.0,3.307,2.753,0.0,0.0,0.0,0.0,2.531,1.977,green"
"57.72,144.028,198.696,151.331,57.198,11.656,4.834,2.118,0.0,4.822,6.385,1.326,0.0,3.579,1.443,0.0,3.759,0.0,blue"
"0.0,0.0,20.028,94.197,199.834,290.889,243.359,117.458,42.168,0.0,2.034,0.0,0.0,6.148,6.125,0.0,2.754,3.634,green"
"50.112,121.212,159.326,117.792,61.751,17.272,25.389,73.81,126.12,181.397,141.345,91.952,34.247,9.487,2.359,0.0,0.0,0.0,magenta"
"72.239,197.463,272.206,189.206,63.695,9.941,0.0,0.0,2.719,1.253,0.0,0.0,5.325,3.465,1.847,5.219,0.0,1.164,blue"
"61.759,122.748,167.532,127.354,58.041,26.301,29.065,65.928,125.003,194.295,158.033,85.094,39.831,11.108,5.994,4.821,0.0,3.888,magenta"
"75.534,201.131,285.608,213.594,73.414,12.752,7.95,0.0,0.0,0.0,2.049,0.0,1.214,0.0,0.0,4.096,0.5,3.17,blue"
"10.466,6.087,1.328,10.465,0.0,10.439,12.469,9.794,14.513,11.913,8.188,10.701,6.076,8.005,11.101,13.188,6.353,10.463,black"
"0.0,0.0,5.585,0.0,5.881,17.979,63.977,144.392,232.144,249.094,122.269,40.037,10.096,11.732,1.599,0.0,2.373,3.953,red"
"0.0,0.0,19.179,65.528,161.82,240.637,207.53,102.003,28.75,5.488,0.0,0.397,1.772,0.0,0.0,3.803,0.0,1.748,green"
"4.154,6.992,15.533,4.491,0.869,6.154,9.824,6.453,12.131,3.943,6.649,6.853,4.502,5.874,3.342,5.764,4.079,2.594,black"
"0.0,2.835,3.473,14.276,47.775,119.25,228.307,220.175,138.363,30.64,7.803,2.552,0.8,0.0,5.94,0.337,0.0,0.634,yellow"
"0.475,0.021,0.0,7.718,43.785,117.434,224.244,220.289,156.182,32.507,6.792,0.0,0.0,1.816,0.0,1.607,0.0,7.132,yellow"
"2.914,12.26,5.914,10.575,11.132,11.789,3.65,9.156,7.022,6.868,8.829,7.98,7.279,8.173,0.728,12.526,11.835,6.564,black"
