"wavelength_410,wavelength_435,wavelength_460,wavelength_485,wavelength_510,wavelength_535,wavelength_560,wavelength_585,wavelength_610,wavelength_645,wavelength_680,wavelength_705,wavelength_730,wavelength_760,wavelength_810,wavelength_860,wavelength_900,wavelength_940,label"
"7.914,6.374,5.007,6.326,7.572,7.381,7.693,6.035,8.006,14.772,14.023,7.757,5.355,11.646,12.63,7.641,10.623,7.033,water"
"24.268,47.107,82.574,16.667,17.278,20.689,13.32,22.486,147.543,15.541,21.728,19.081,26.215,18.186,27.171,147.453,24.929,20.966,metal"
"15.516,37.854,67.63,15.884,13.253,24.334,18.691,27.587,137.183,24.587,19.535,21.3,16.607,18.015,19.607,137.56,17.337,23.572,metal"
"3.772,2.34,6.467,8.015,3.575,11.995,5.257,8.452,1.264,6.735,4.695,11.583,15.826,20.551,22.599,21.309,29.304,24.471,glass"
"85.673,90.4,97.016,126.044,147.573,162.383,164.687,173.663,172.178,176.641,165.442,142.824,139.746,122.679,106.547,93.94,95.511,74.373,skin"
"1.776,8.408,11.205,7.522,10.968,8.678,13.465,3.11,10.287,8.865,7.799,12.73,11.56,10.664,26.402,31.061,34.411,28.26,glass"
"0.0,6.487,3.06,7.868,4.541,6.019,5.416,3.683,5.449,5.765,6.704,15.974,13.773,22.992,28.71,33.467,28.861,30.061,glass"
"9.86,3.943,6.444,2.558,8.293,7.23,7.83,11.742,8.138,10.337,11.845,7.883,11.695,6.899,10.877,12.99,10.103,6.866,water"
"39.19,40.632,48.893,66.785,81.453,89.903,100.263,95.125,86.691,85.964,78.034,75.035,71.65,51.639,47.937,33.633,38.977,32.297,fruit"
"141.285,127.862,133.06,142.074,139.1,145.828,149.365,148.448,155.587,154.357,142.789,147.83,152.761,136.712,140.505,127.358,125.357,138.419,paper"
"39.38,57.121,69.268,84.739,97.431,113.39,126.602,116.091,122.666,102.957,88.567,84.51,78.761,58.281,49.382,41.695,42.818,47.105,fruit"
"36.365,19.131,30.415,22.246,55.674,17.896,72.92,48.662,72.278,74.335,94.021,69.534,84.687,92.468,120.78,94.616,102.135,97.028,plastic"
"5.873,10.546,6.447,11.127,10.032,6.695,8.625,4.237,3.576,9.799,12.695,23.15,18.111,21.32,33.644,36.218,33.212,32.29,glass"
"4.668,4.529,4.236,11.164,8.82,15.272,10.867,9.671,11.799,17.695,12.883,16.99,15.749,12.758,17.794,9.592,6.624,7.802,rubber"
"4.695,5.217,6.992,9.601,7.79,8.219,7.366,11.082,8.512,12.287,11.502,10.864,17.037,9.64,9.57,4.586,6.518,6.976,rubber"
"54.566,59.565,87.453,105.967,118.647,132.689,143.555,146.062,135.339,125.621,113.969,111.464,98.811,86.641,64.637,60.719,46.262,59.01,fruit"
"82.134,110.074,103.115,112.969,119.62,125.694,138.505,139.698,127.864,131.68,123.351,119.71,116.975,114.585,96.191,93.775,93.512,87.532,wood"
"61.537,66.977,83.295,119.02,127.907,154.809,154.535,155.437,155.119,138.988,132.441,115.262,101.373,93.577,67.236,61.084,47.129,60.915,fruit"
"23.504,39.957,70.644,18.166,16.135,17.677,21.833,23.263,135.482,15.944,21.161,21.091,11.761,19.538,18.544,140.05,20.036,20.41,metal"
"141.605,150.363,173.394,175.747,170.113,186.815,166.332,173.734,164.338,172.234,157.091,150.444,147.89,151.743,146.991,159.726,173.569,161.434,cotton"
"4.822,3.545,4.036,1.852,2.436,4.406,5.788,7.96,6.047,9.688,10.927,9.71,10.495,5.561,4.354,7.506,2.635,4.353,water"
"159.806,171.308,151.706,156.2,169.271,152.502,172.463,161.116,175.374,161.318,178.69,174.347,177.367,163.103,159.7,148.741,156.015,148.716,paper"
"130.145,134.923,136.013,147.128,139.365,141.445,142.467,151.739,143.464,145.274,135.232,131.535,122.873,110.137,123.365,134.223,141.196,140.587,cotton"
"1.72,10.084,6.009,12.529,9.375,8.992,7.107,6.064,11.024,11.013,8.511,9.306,10.251,17.272,17.575,11.4,9.662,7.72,water"
"92.674,108.353,124.701,121.726,137.647,138.043,148.959,137.377,157.574,154.996,135.561,118.894,124.622,119.107,115.235,110.789,92.697,90.792,wood"
"85.84,88.158,100.306,118.337,118.862,120.281,131.478,119.254,118.312,116.482,123.74,108.549,106.664,97.137,102.184,85.252,81.237,74.529,wood"
"172.11,173.541,177.407,174.819,196.793,177.738,205.437,188.258,197.117,189.681,192.892,187.424,177.13,179.256,175.932,174.809,173.219,169.525,paper"
"3.699,4.188,8.193,6.298,7.324,10.862,10.138,11.935,10.007,15.42,14.418,16.41,15.373,17.313,13.758,6.516,7.032,7.823,rubber"
"6.96,8.044,3.126,7.051,8.303,10.215,9.02,13.283,9.348,19.262,12.393,15.649,13.245,15.581,9.967,13.562,6.763,7.588,rubber"
"11.324,10.084,7.363,5.515,8.445,3.718,12.772,8.002,15.073,18.68,9.99,14.872,11.465,9.335,12.138,11.938,10.626,7.497,rubber"
"141.087,135.676,140.067,125.127,155.581,145.413,157.635,147.054,151.994,144.548,129.207,128.911,125.172,119.804,129.579,126.605,150.523,136.439,cotton"
"175.335,174.725,180.942,187.569,198.543,199.567,200.991,198.045,204.881,210.997,192.578,202.697,193.475,179.448,190.32,182.24,188.062,167.022,paper"
"0.0,3.072,3.983,7.964,7.827,6.392,5.919,4.304,7.688,14.186,7.941,14.983,17.575,24.878,32.06,35.229,34.146,30.253,glass"
"52.714,51.262,69.276,89.78,101.788,114.298,119.584,109.781,117.116,107.835,101.639,91.841,97.674,79.41,69.738,58.281,53.249,50.153,skin"
"168.434,189.247,192.509,203.773,201.175,209.377,212.457,189.554,183.193,181.264,190.24,175.1,175.908,169.932,159.832,182.945,191.716,193.715,cotton"
"154.517,159.099,154.987,170.218,165.682,168.077,175.839,173.841,170.715,168.442,176.481,184.177,161.775,168.351,171.722,155.304,160.676,155.225,paper"
"3.382,8.372,3.143,10.431,5.112,11.197,6.105,0.0,8.511,9.863,8.392,11.499,15.125,15.066,18.679,33.571,28.767,35.396,glass"
"1.795,2.169,7.758,4.934,5.569,7.488,3.071,7.713,8.65,13.865,8.291,12.882,11.792,9.08,9.201,11.774,10.133,6.488,water"
"9.086,8.087,3.457,12.821,11.583,9.596,10.308,12.532,13.281,21.385,15.377,14.615,20.942,14.777,17.134,13.999,9.823,5.735,rubber"
"30.79,6.621,22.764,21.907,47.055,24.877,60.808,45.646,65.966,55.227,84.792,57.231,75.407,80.954,86.746,80.786,89.479,81.81,plastic"
"164.876,158.996,168.053,176.238,190.44,182.598,175.932,172.911,165.492,178.935,169.096,149.372,143.384,150.467,147.381,155.566,171.955,186.363,cotton"
"35.454,15.756,23.405,22.213,44.205,14.327,66.471,52.93,59.572,56.631,85.196,60.404,73.386,77.153,100.377,85.828,93.112,92.111,plastic"
"175.101,180.06,195.68,202.629,197.635,200.748,204.484,195.56,199.431,198.178,180.176,175.516,174.829,166.261,177.986,187.94,211.101,212.236,cotton"
"5.929,1.971,8.846,7.536,4.361,4.712,10.122,11.827,6.986,15.807,13.403,15.723,15.891,16.267,9.347,16.231,5.557,9.128,rubber"
"97.038,95.397,107.596,122.852,132.85,133.037,146.842,140.974,144.097,130.541,131.716,119.285,117.531,117.53,108.94,105.245,98.188,84.144,wood"
"91.97,113.81,114.988,131.235,149.73,141.265,147.98,143.131,148.348,147.722,138.417,131.47,119.024,113.378,120.436,113.126,102.616,100.103,wood"
"5.511,0.314,7.315,6.254,10.812,11.059,11.44,9.508,11.585,14.818,13.997,18.141,18.075,13.875,13.382,8.13,8.116,9.514,rubber"
"9.712,7.582,8.95,0.459,7.81,5.991,3.086,7.777,11.679,0.0,8.731,8.455,16.811,20.21,26.28,33.399,39.778,40.477,glass"
"61.823,66.89,87.804,103.987,119.586,122.814,155.809,139.908,146.959,145.018,131.216,128.614,112.327,111.868,86.881,73.962,68.623,67.851,skin"
"63.901,75.047,95.923,117.456,133.71,159.562,186.977,180.834,165.668,160.471,137.982,127.366,114.583,106.29,72.999,75.33,61.37,61.141,fruit"
"4.148,8.393,5.008,4.808,10.709,8.517,5.544,8.658,9.241,9.76,9.862,13.933,12.674,17.346,13.663,9.616,11.981,8.363,water"
"47.397,57.579,72.271,82.752,112.663,128.716,130.103,140.448,141.704,133.806,102.952,106.717,91.342,84.769,67.952,56.353,42.908,37.174,fruit"
